2024-11-27T13:35:21.480000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 0.07666822074546215
2024-11-27T13:35:21.480000, sensor1, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -75, 3.7750532053243937
2024-11-27T13:35:21.480000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -53, 0.5379838403443686
2024-11-27T13:35:21.480000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -55, 0.6422325422229359
2024-11-27T13:35:21.480000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -45, 0.2648969287610528
2024-11-27T13:35:21.480000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -53, 0.5379838403443686
2024-11-27T13:35:21.480000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -42, 0.20309176209047358
2024-11-27T13:35:21.480000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -76, 4.1246263829013525
2024-11-27T13:35:21.480000, sensor1, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -80, 5.878016072274914
2024-11-27T13:35:21.480000, sensor1, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -55, 0.6422325422229359
2024-11-27T13:35:21.480000, sensor1, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -54, 0.5878016072274913
2024-11-27T13:35:21.480000, sensor1, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -69, 2.2189823414589713
2024-11-27T13:35:21.480000, sensor1, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -50, 0.4124626382901352
2024-11-27T13:35:26.820000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -33, 0.09152473108773888
2024-11-27T13:35:26.820000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -53, 0.5379838403443686
2024-11-27T13:35:26.820000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -55, 0.6422325422229359
2024-11-27T13:35:26.830000, sensor1, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -80, 5.878016072274914
2024-11-27T13:35:26.830000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -11, 0.013043213867190054
2024-11-27T13:35:26.830000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -57, 0.7666822074546215
2024-11-27T13:35:26.830000, sensor1, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -48, 0.3455107294592219
2024-11-27T13:35:26.830000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -73, 3.1622776601683795
2024-11-27T13:35:26.830000, sensor1, 59-80-82-17-05-85, 59:80:82:17:05:85, -59, 0.915247310877389
2024-11-27T13:35:26.830000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -43, 0.22189823414589713
2024-11-27T13:35:26.830000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -62, 1.1937766417144364
2024-11-27T13:35:26.830000, sensor1, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -83, 7.666822074546214
2024-11-27T13:35:26.830000, sensor1, NHVB9, 6C:21:62:40:6A:30, -65, 1.5570684047537309
2024-11-27T13:35:26.830000, sensor1, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -73, 3.1622776601683795
2024-11-27T13:35:26.830000, sensor1, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -70, 2.4244620170823286
2024-11-27T13:35:26.830000, sensor1, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -44, 0.24244620170823283
2024-11-27T13:35:32.160000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 0.07666822074546215
2024-11-27T13:35:32.160000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -54, 0.5878016072274913
2024-11-27T13:35:32.160000, sensor1, 59-80-82-17-05-85, 59:80:82:17:05:85, -58, 0.8376776400682919
2024-11-27T13:35:32.160000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -50, 0.4124626382901352
2024-11-27T13:35:32.160000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -48, 0.3455107294592219
2024-11-27T13:35:32.160000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -43, 0.22189823414589713
2024-11-27T13:35:32.160000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -37, 0.13043213867190054
2024-11-27T13:35:32.160000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -57, 0.7666822074546215
2024-11-27T13:35:32.160000, sensor1, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -74, 3.455107294592219
2024-11-27T13:35:32.160000, sensor1, NHVB9, 6C:21:62:40:6A:30, -68, 2.0309176209047357
2024-11-27T13:35:32.160000, sensor1, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -81, 6.42232542222936
2024-11-27T13:35:37.520000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 0.07666822074546215
2024-11-27T13:35:37.520000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -42, 0.20309176209047358
2024-11-27T13:35:37.520000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -42, 0.20309176209047358
2024-11-27T13:35:37.520000, sensor1, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -74, 3.455107294592219
2024-11-27T13:35:37.520000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -55, 0.6422325422229359
2024-11-27T13:35:37.520000, sensor1, NHVB9, 6C:21:62:40:6A:30, -69, 2.2189823414589713
2024-11-27T13:35:37.520000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -69, 2.2189823414589713
2024-11-27T13:35:37.520000, sensor1, 59-80-82-17-05-85, 59:80:82:17:05:85, -80, 5.878016072274914
2024-11-27T13:35:37.520000, sensor1, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -79, 5.379838403443686
2024-11-27T13:35:37.520000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -46, 0.2894266124716751
2024-11-27T13:35:37.520000, sensor1, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -37, 0.13043213867190054
2024-11-27T13:35:37.520000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -50, 0.4124626382901352
2024-11-27T13:35:37.520000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -75, 3.7750532053243937
2024-11-27T13:35:37.520000, sensor1, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -67, 1.8587918911465637
2024-11-27T13:35:37.520000, sensor1, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -45, 0.2648969287610528
2024-11-27T13:35:37.520000, sensor1, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -52, 0.4923882631706739
2024-11-27T13:35:37.520000, sensor1, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -80, 5.878016072274914
2024-11-27T13:35:42.850000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -41, 0.1858791891146564
2024-11-27T13:35:42.860000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -28, 0.05878016072274912
2024-11-27T13:35:42.860000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -44, 0.24244620170823283
2024-11-27T13:35:42.860000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -74, 3.455107294592219
2024-11-27T13:35:42.860000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -61, 1.0926008611173783
2024-11-27T13:35:42.860000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -43, 0.22189823414589713
2024-11-27T13:35:42.860000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -53, 0.5379838403443686
